P,#,DRIVER,TIME
1,23,Bubba Wallace,50.281
2,44,J.J. Yeley,50.395
3,11,Denny Hamlin,50.405
4,47,Ricky Stenhouse Jr.,50.433
5,9,Chase Elliott,50.438
6,12,Ryan Blaney,50.457
7,16,Daniel Hemric,50.471
8,21,Joey Logano,50.472
9,17,Chris Buescher,50.475
10,7,Ty Majeski,50.481
11,07,Justin Bonsignore,50.501
12,43,Erik Jones,50.510
13,20,Christopher Bell,50.521
14,10,Ty Dillon,50.534
15,45,Tyler Reddick,50.541
16,50,Harrison Burton,50.541
17,78,Conor Daly,50.543
18,29,Brad Keselowski,50.549
19,56,Joey Gase,50.549
20,40,Kasey Kahne,50.557
21,24,William Byron,50.558
22,8,Kyle Busch,50.562
23,00,Chase Briscoe,50.567
24,36,Rajah Caruth,50.570
25,51,Ryan Newman,50.580
26,22,Scott McLaughlin,50.587
27,42,John Hunter Nemechek,50.590
28,99,Daniel Suarez,50.610
29,88,Shane Van Gisbergen,50.625
30,62,Zane Smith,50.631
31,3,Austin Dillon,50.660
32,38,Todd Gilliland,50.681
33,66,William Sawalich,50.750
